Detector;Descriptor;Image No;Detection Time;Matched Keys;Avg. NBH. dist.;Descriptor ext. time
BRISK;ORB;image4;456.574607;277;20.358249;6.643823;
BRISK;ORB;image5;458.109721;297;22.591091;6.746674;
BRISK;ORB;image6;456.204130;279;22.944164;6.854688;
BRISK;ORB;image7;446.649762;289;21.801379;6.788946;
BRISK;ORB;image8;446.934043;272;22.147183;6.644074;
BRISK;ORB;image9;454.530007;266;22.555769;6.946645;
BRISK;ORB;image10;446.030073;254;22.038863;6.474675;
BRISK;FREAK;image1;446.261214;264;21.549159;66.539353;
BRISK;FREAK;image2;454.364102;282;21.785301;62.464861;
BRISK;FREAK;image3;449.752908;282;21.650864;60.893471;
BRISK;FREAK;image4;452.178129;277;20.358249;61.629890;
BRISK;FREAK;image5;447.136646;297;22.591091;61.375965;
BRISK;FREAK;image6;446.474337;279;22.944164;60.384271;
BRISK;FREAK;image7;450.030733;289;21.801379;57.101366;
BRISK;FREAK;image8;441.043303;272;22.147183;56.009370;
BRISK;FREAK;image9;440.625095;266;22.555769;58.005084;
BRISK;FREAK;image10;445.558616;254;22.038863;55.965882;
BRISK;SIFT;image1;441.044465;264;21.549159;75.217891;
BRISK;SIFT;image2;447.626209;282;21.785301;73.375528;
BRISK;SIFT;image3;445.572218;282;21.650864;74.610841;
BRISK;SIFT;image4;443.027993;277;20.358249;87.952311;
BRISK;SIFT;image5;450.313500;297;22.591091;76.891784;
BRISK;SIFT;image6;486.852551;279;22.944164;84.582397;
BRISK;SIFT;image7;455.194855;289;21.801379;76.253476;
BRISK;SIFT;image8;440.367007;272;22.147183;74.277944;
BRISK;SIFT;image9;441.784587;266;22.555769;74.125169;
BRISK;SIFT;image10;443.027886;254;22.038863;68.634696;
ORB;BRIEF;image1;11.394718;92;57.072309;0.703932;
ORB;BRIEF;image2;11.609804;102;57.227267;1.043793;
ORB;BRIEF;image3;10.763031;106;56.494820;1.016398;
ORB;BRIEF;image4;10.845045;113;55.143634;1.102145;
ORB;BRIEF;image5;10.950997;109;56.744225;1.065361;
ORB;BRIEF;image6;10.774402;125;56.636749;1.182269;
ORB;BRIEF;image7;11.347429;130;56.768314;1.641576;
ORB;BRIEF;image8;12.627776;129;55.429634;1.115332;
ORB;BRIEF;image9;11.389715;127;54.672321;1.207182;
ORB;BRIEF;image10;10.199883;128;54.388559;0.795039;
ORB;ORB;image1;10.840448;92;57.072309;7.172233;
ORB;ORB;image2;10.903212;102;57.227267;7.269366;
ORB;ORB;image3;11.014363;106;56.494820;6.822587;
ORB;ORB;image4;9.871912;113;55.143634;5.136644;
ORB;ORB;image5;10.795168;109;56.744225;7.229300;
ORB;ORB;image6;10.690021;125;56.636749;7.109896;
ORB;ORB;image7;11.433749;130;56.768314;7.242573;
ORB;ORB;image8;10.975096;129;55.429634;7.870094;
ORB;ORB;image9;10.794564;127;54.672321;7.203805;
ORB;ORB;image10;10.475691;128;54.388559;7.000572;
ORB;FREAK;image1;9.930863;92;57.072309;57.772834;
ORB;FREAK;image2;11.080942;102;57.227267;56.795086;
ORB;FREAK;image3;10.982389;106;56.494820;56.302282;
ORB;FREAK;image4;10.820205;113;55.143634;57.943769;
ORB;FREAK;image5;11.103263;109;56.744225;56.007378;
ORB;FREAK;image6;11.838721;125;56.636749;60.190783;
ORB;FREAK;image7;10.256874;130;56.768314;61.819817;
ORB;FREAK;image8;12.517740;129;55.429634;58.990977;
ORB;FREAK;image9;11.078098;127;54.672321;62.686573;
ORB;FREAK;image10;9.813936;128;54.388559;58.732914;
ORB;SIFT;image1;11.641872;92;57.072309;79.966854;
ORB;SIFT;image2;14.618353;102;57.227267;88.451341;
ORB;SIFT;image3;12.200853;106;56.494820;78.591797;
ORB;SIFT;image4;8.376939;113;55.143634;90.290322;
ORB;SIFT;image5;9.827894;109;56.744225;74.613760;
ORB;SIFT;image6;8.606012;125;56.636749;94.141034;
ORB;SIFT;image7;10.771677;130;56.768314;91.062755;
ORB;SIFT;image8;10.302442;129;55.429634;94.887575;
ORB;SIFT;image9;10.486508;127;54.672321;104.432093;
ORB;SIFT;image10;13.090110;128;54.388559;87.805187;
AKAZE;BRIEF;image1;118.800833;166;7.729172;0.998408;
AKAZE;BRIEF;image2;128.219149;157;7.490204;0.963217;
AKAZE;BRIEF;image3;127.931387;161;7.452113;0.929458;
AKAZE;BRIEF;image4;122.841576;155;7.575220;1.013697;
